tech_code,tech_name,colour
DZNGITBP00,Algeria - Italy Historic NG trade link,orange
DZELMABP00,Algeria - Morocco Historic EL trade link,polarorange
DZNGMABP00,Algeria - Morocco Historic NG trade link,lightgreen
DZNGPOBP00,Algeria - Portugal Historic NG trade link,aqua
DZNGESBP00,Algeria - Spain Historic and Planned NG trade link,polarbluelight
DZNGTNBP00,Algeria - Tunisia Historic NG trade link,blueviolet
AOELCDBP00,Angola - DRC EL planned trade link,polarbluelight
BACAGG,Backstop,coral
BACKSTOP,Backstop technology,aliceblue
BJELGHBP00,Benin - Ghana EL planned trade link,polarbluelight
BJELNEBP00,Benin - Niger EL planned trade link,polar
BIOAGG,Biofuel and Biomass production,bisque
BIOFUELX,Biofuel production,aqua
BIOM,Biomass,lightgreen
BMCHP01N,Biomass & Waste CHP plant - Air cooling (new),cornsilk
BMCHP01O,Biomass & Waste CHP plant - Air cooling (old),brown
BMCHP02N,Biomass & Waste CHP plant - MDT cooling (new),cyan
BMCHP02O,Biomass & Waste CHP plant - MDT cooling (old),cadetblue
BMCHP03N,Biomass & Waste CHP plant - NDT cooling (new),darkcyan
BMCHP03O,Biomass & Waste CHP plant - NDT cooling (old),chartreuse
BMCHP04N,Biomass & Waste CHP plant - OTF/OTS cooling (new),darkgray
BMCHP04O,Biomass & Waste CHP plant - OTF/OTS cooling (old),coral
BMCHC02N,Biomass & Waste CHP plant  with CCS- MDT cooling (new),bluegray
BMCHC01N,Biomass & Waste CHP plant with CCS - Air cooling (new),blanchedalmond
BMCHC03N,Biomass & Waste CHP plant with CCS - NDT cooling (new),blueviolet
BMCHC04N,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),brightblue
BMEXPORT,Biomass exports,lightsalmon
BM00X00X,Biomass extraction/production/refining,bisque
BM00I00X,Biomass imports,azure
BWELNMBP00,Botswana - Namibia EL planned trade link,polarorange
BWELZABP00,Botswana - South Africa EL existing trade link,indianred
BWELZMBP00,Botswana - Zambia EL planned trade link,blueviolet
BWELZWBP00,Botswana - Zimbabwe EL planned trade link,silver
BFELNEBP00,Burkina Faso - Niger EL planned trade link,polarpurple
BIELRWBP00,Burundi - Rwanda EL existing trade link,indianred
CMELTDBP00,Cameroon - Chad EL planned trade link,navy
CH00I00X,Charcoal imports,darkgrey
NPCHA00X,Charcoal production,wheat
CO2,CO2,black
COALAGG,Coal,black
COEXPORT,Coal exports,black
CO00X00X,Coal extraction (mining),darkred
CO00I00X,"Coal imports (inland transport, maritime freight)",darkmagenta
COSCP01N,Coal power plant - Air cooling (new),ghostwhite
COSCP01O,Coal power plant - Air cooling (old),dimgray
COSCP02N,Coal power plant - MDT cooling (new),goldenrod
COSCP02O,Coal power plant - MDT cooling (old),dodgerblue
COSCP03N,Coal power plant - NDT cooling (new),gray
COSCP03O,Coal power plant - NDT cooling (old),floralwhite
COSCP04N,Coal power plant - OTF/OTS cooling (new),greenyellow
COSCP04O,Coal power plant - OTF/OTS cooling (old),fuchsia
COSCC01N,Coal power plant with CCS - Air cooling (new),darkseagreen
COSCC02N,Coal power plant with CCS - MDT cooling (new),darkslategray
COSCC03N,Coal power plant with CCS - NDT cooling (new),darkturquoise
COSCC04N,Coal power plant with CCS - OTF/OTS cooling (new),deeppink
CO00P00X,Coal process (non-power sector),darkorange
COALPROD,Coal Production,darkgrey
CIELBFBP00,Cote dï Ivoire - Burkina Faso EL existing trade link,powderblue
CIELGHBP00,Cote dï Ivoire - Ghana EL planned trade link,sandybrown
CIELLRBP00,Cote dï Ivoire - Liberia EL planned trade link,seagreen
CIELSLBP00,Cote dï Ivoire - Sierra Leone EL planned trade link,saddlebrown
CR00X00X,Crude Oil extraction,grey05
CR00I00X,Crude Oil imports,grey01
CR00P00X,Crude Oil process (non-power sector),grey03
CRUDPROD,Crude Oil production,coral
CRUDREF,Crude oil Refinery,grey09
CRUDRE1X,Crude oil refinery 1,grey11
