Coal,Coal with ccs,Oil,Gas,Gas with ccs,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Geothermal,Biomass with ccs,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction,Uranium extraction,Biofuel and Biomass production
Coal power plant - Air cooling (old),Coal power plant with CCS - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - CCS - Air cooling (new),Large hydropower plant (Dam),Nuclear power plant - OTS/OTF cooling (old),CSP (without storage),Solar PV (utility),Wind (onshore),Geothermal power plant - Air cooling (old),Biomass & Waste CHP plant with CCS - Air cooling (new),Biomass & Waste CHP plant - Air cooling (old),Coal extraction (mining),Crude Oil extraction,Crude oil refinery capacity,Natural gas extraction,Uranium extraction,Biomass extraction/production/refining
Coal power plant - MDT cooling (old),Coal power plant with CCS - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Medium hydropower plant (Run-of river),Nuclear power plant - OTS/OTF cooling (new),CSP (with storage),Solar PV (roof top),Wind (offshore),Geothermal power plant - MDT cooling (old),Biomass & Waste CHP plant  with CCS- MDT cooling (new),Biomass & Waste CHP plant - MDT cooling (old),,,,,,Biofuel production
Coal power plant - NDT cooling (old),Coal power plant with CCS - NDT cooling (new),Oil fired gas turbine (SCGT) - NDT cooling (old),Natural gas power plant (combined cycle) - NDT cooling (new),Natural gas power plant (combined cycle) - CCS - NDT cooling (new),Small hydropower plant,,,Solar PV with storage,,Geothermal power plant - NDT cooling (old),Biomass & Waste CHP plant with CCS - NDT cooling (new),Biomass & Waste CHP plant - NDT cooling (old),,,,,,
Coal power plant - OTF/OTS cooling (old),Coal power plant with CCS - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),,,,,,Geothermal power plant - OTF/OTS cooling (old),Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),,,,,,
Coal power plant - Air cooling (new),,Oil fired gas turbine (SCGT) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),,,,,,,Geothermal power plant - Air cooling (new),,Biomass & Waste CHP plant - Air cooling (new),,,,,,
Coal power plant - MDT cooling (new),,Oil fired gas turbine (SCGT) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),,,,,,,Geothermal power plant - MDT cooling (new),,Biomass & Waste CHP plant - MDT cooling (new),,,,,,
Coal power plant - NDT cooling (new),,Oil fired gas turbine (SCGT) - NDT cooling (new),Natural gas power plant (combined cycle) - NDT cooling (old),,,,,,,Geothermal power plant - NDT cooling (new),,Biomass & Waste CHP plant - NDT cooling (new),,,,,,
Coal power plant - OTF/OTS cooling (new),,Oil fired gas turbine (SCGT) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),,,,,,,Geothermal power plant - OTF/OTS cooling (new),,Biomass & Waste CHP plant - OTF/OTS cooling (new),,,,,,
,,Light Fuel Oil stand alone (1kW),Natural gas power plant (single cycle) - Air cooling (old),,,,,,,,,,,,,,,
,,Light Fuel Oil power plant - Air cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),,,,,,,,,,,,,,,
,,Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (single cycle) - NDT cooling (old),,,,,,,,,,,,,,,
,,Light Fuel Oil power plant - NDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (old),,,,,,,,,,,,,,,
,,Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (single cycle) - Air cooling (new),,,,,,,,,,,,,,,
,,Light Fuel Oil power plant - Air cooling (new),Natural gas power plant (single cycle) - MDT cooling (new),,,,,,,,,,,,,,,
,,Light Fuel Oil power plant - MDT cooling (new),Natural gas power plant (single cycle) - NDT cooling (new),,,,,,,,,,,,,,,
,,Light Fuel Oil power plant - NDT cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),,,,,,,,,,,,,,,
,,Light Fuel Oil power plant - OTF/OTS cooling (new),,,,,,,,,,,,,,,,
