Coal with ccs,Coal,Oil,Gas,Gas with ccs,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass with ccs,Biomass,Geothermal,power_trade,gas_trade
,,Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (single cycle) - NDT cooling (old),,,,,,,,,,DRC - Rwanda EL existing and planned trade link,Tanzania - Uganda NG planned trade link
,,Light Fuel Oil power plant - NDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (old),,,,,,,,,,Ethiopia - Kenya EL planned trade link,Nigeria - Benin Historic NG trade link
,,Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (single cycle) - Air cooling (new),,,,,,,,,,Ethiopia - Djibouti EL existing trade link,Nigeria - Ghana Historic NG trade link
,,Light Fuel Oil power plant - Air cooling (new),Natural gas power plant (single cycle) - MDT cooling (new),,,,,,,,,,Ethiopia - Sudan EL existing trade link,Nigeria - Niger Historic NG trade link
,,Light Fuel Oil power plant - MDT cooling (new),Natural gas power plant (single cycle) - NDT cooling (new),,,,,,,,,,Kenya - Uganda EL existing and planned trade link,Nigeria - Togo Historic NG trade link
,,Light Fuel Oil power plant - NDT cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),,,,,,,,,,Kenya - Tanzania EL existing and planned trade link,Mozambique - South Africa Historic NG trade link
,,Light Fuel Oil power plant - OTF/OTS cooling (new),,,,,,,,,,,Rwanda - Burundi EL existing trade link,
,,,,,,,,,,,,,Rwanda - Tanzania EL planned trade link,
,,,,,,,,,,,,,Tanzania - Burundi EL planned trade link,
,,,,,,,,,,,,,Tanzania - Kenya EL planned trade link,
,,,,,,,,,,,,,Tanzania - Uganda EL existing trade link,
,,,,,,,,,,,,,Uganda - Kenya EL existing and planned trade link,
,,,,,,,,,,,,,Uganda - Tanzania EL existing and planned trade link,
,,,,,,,,,,,,,Uganda - Rwanda EL existing trade link,
,,,,,,,,,,,,,Botswana - South Africa EL existing trade link,
,,,,,,,,,,,,,DRC - South Africa EL planned trade link,
,,,,,,,,,,,,,DRC - Zambia EL existing trade link,
,,,,,,,,,,,,,Lesotho - South Africa EL existing trade link,
,,,,,,,,,,,,,Mozambique - South Africa EL existing trade link,
,,,,,,,,,,,,,Mozambique - Swaziland EL existing trade link,
,,,,,,,,,,,,,Mozambique - Zimbabwe EL existing trade link,
,,,,,,,,,,,,,Namibia - South Africa EL existing trade link,
,,,,,,,,,,,,,South Africa - Swaziland EL existing trade link,
,,,,,,,,,,,,,South Africa - Zimbabwe EL existing trade link,
,,,,,,,,,,,,,Zambia - Zimbabwe EL existing trade link,
,,,,,,,,,,,,,Angola - DRC EL planned trade link,
,,,,,,,,,,,,,Botswana - Zambia EL planned trade link,
,,,,,,,,,,,,,Botswana - Namibia EL planned trade link,
,,,,,,,,,,,,,Botswana - Zimbabwe EL planned trade link,
,,,,,,,,,,,,,Malawi - Mozambique EL planned trade link,
,,,,,,,,,,,,,Malawi - Tanzania EL planned trade link,
,,,,,,,,,,,,,Namibia - Zambia EL planned trade link,
,,,,,,,,,,,,,Namibia - Zimbabwe EL planned trade link,
,,,,,,,,,,,,,Tanzania - Zambia EL planned trade link,
,,,,,,,,,,,,,Zambia - Tanzania EL planned trade link,
,,,,,,,,,,,,,Benin - Niger EL planned trade link,
,,,,,,,,,,,,,Benin - Ghana EL planned trade link,
,,,,,,,,,,,,,Ghana - Benin EL planned trade link,
,,,,,,,,,,,,,Niger - Benin EL planned trade link,
,,,,,,,,,,,,,Togo - Benin EL existing trade link,
,,,,,,,,,,,,,Burkina Faso - Niger EL planned trade link,
,,,,,,,,,,,,,Cote dï Ivoire - Burkina Faso EL existing trade link,
,,,,,,,,,,,,,Ghana - Burkina Faso EL planned trade link,
,,,,,,,,,,,,,Niger - Burkina Faso EL existing and planned trade link,
,,,,,,,,,,,,,Cote dï Ivoire - Sierra Leone EL planned trade link,
,,,,,,,,,,,,,Cote dï Ivoire - Ghana EL planned trade link,
,,,,,,,,,,,,,Cote dï Ivoire - Liberia EL planned trade link,
,,,,,,,,,,,,,Ghana - Cote dï Ivoire EL existing trade link,
,,,,,,,,,,,,,Mali - Cote dï Ivoire EL planned trade link,
,,,,,,,,,,,,,Gambia - Guinea Bissau EL planned trade link,
,,,,,,,,,,,,,Gambia - Senegal EL planned trade link,
,,,,,,,,,,,,,Togo - Ghana EL planned trade link,
,,,,,,,,,,,,,Ghana - Togo EL existing and planned trade link,
,,,,,,,,,,,,,Ghana - Mali EL planned trade link,
,,,,,,,,,,,,,Guinea - Mali EL planned trade link,
,,,,,,,,,,,,,Guinea - Senegal EL planned trade link,
,,,,,,,,,,,,,Senegal - Mauritania EL planned trade link,
,,,,,,,,,,,,,Nigeria - Benin EL exsting and planned trade link,
,,,,,,,,,,,,,Nigeria - Niger EL existing and planned trade link,
,,,,,,,,,,,,,Nigeria - Togo EL planned trade link,
