Coal with ccs,Coal,Oil,Gas,Gas with ccs,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass with ccs,Biomass,Geothermal,power_trade,gas_trade
Coal power plant with CCS - Air cooling (new),Coal power plant - Air cooling (old),Oil fired gas turbine (SCGT) - Air cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - CCS - Air cooling (new),Large hydropower plant (Dam),Nuclear power plant - OTS/OTF cooling (old),CSP (without storage),Solar PV (utility),Wind (onshore),Biomass & Waste CHP plant with CCS - Air cooling (new),Biomass & Waste CHP plant - Air cooling (old),Geothermal power plant - Air cooling (old),Algeria - Morocco Historic EL trade link,Algeria - Italy Historic NG trade link
Coal power plant with CCS - MDT cooling (new),Coal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Medium hydropower plant (Run-of river),Nuclear power plant - OTS/OTF cooling (new),CSP (with storage),Solar PV (roof top),Wind (offshore),Biomass & Waste CHP plant  with CCS- MDT cooling (new),Biomass & Waste CHP plant - MDT cooling (old),Geothermal power plant - MDT cooling (old),Spain - Morocco Historic EL trade link,Algeria - Portugal Historic NG trade link
Coal power plant with CCS - NDT cooling (new),Coal power plant - NDT cooling (old),Oil fired gas turbine (SCGT) - NDT cooling (old),Natural gas power plant (combined cycle) - NDT cooling (new),Natural gas power plant (combined cycle) - CCS - NDT cooling (new),Small hydropower plant,,,Solar PV with storage,,Biomass & Waste CHP plant with CCS - NDT cooling (new),Biomass & Waste CHP plant - NDT cooling (old),Geothermal power plant - NDT cooling (old),Egypt - Sudan Historic and Planned EL trade link,Algeria - Spain Historic and Planned NG trade link
Coal power plant with CCS - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),,,,,,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Geothermal power plant - OTF/OTS cooling (old),Egypt - Jordan Historic EL trade link,Algeria - Morocco Historic NG trade link
,Coal power plant - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),,,,,,,,Biomass & Waste CHP plant - Air cooling (new),Geothermal power plant - Air cooling (new),Egypt - Saudi Arabia Planned EL trade link,Algeria - Tunisia Historic NG trade link
,Coal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),,,,,,,,Biomass & Waste CHP plant - MDT cooling (new),Geothermal power plant - MDT cooling (new),Libya - Egypt Historic EL trade link,Egypt - Turkey Historic NG trade link
,Coal power plant - NDT cooling (new),Oil fired gas turbine (SCGT) - NDT cooling (new),Natural gas power plant (combined cycle) - NDT cooling (old),,,,,,,,Biomass & Waste CHP plant - NDT cooling (new),Geothermal power plant - NDT cooling (new),Morocco - Algeria Historic EL trade link,Israel - Egypt Planned NG trade link
,Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),,,,,,,,Biomass & Waste CHP plant - OTF/OTS cooling (new),Geothermal power plant - OTF/OTS cooling (new),Tunisia - Algeria Historic EL trade link,Libya - Italy Historic NG trade link
,,Light Fuel Oil stand alone (1kW),Natural gas power plant (single cycle) - Air cooling (old),,,,,,,,,,Burundi - Rwanda EL existing trade link,Nigeria - Algeria Planned NG trade link
,,Light Fuel Oil power plant - Air cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),,,,,,,,,,DRC - Burundi EL existing and planned trade link,Ethiopia - Djibouti NG planned trade link
